exchange,symbol,ticker,name,isin,currency,source,asof_date
NSE,ADROITINFO,ADROITINFO.NS,Adroit Infotech Limited,INE737B01033,INR,NSE:EQUITY_L,2026-02-18
NSE,ADSL,ADSL.NS,Allied Digital Services Limited,INE102I01027,INR,NSE:EQUITY_L,2026-02-18
NSE,ADVAIT,ADVAIT.NS,Advait Energy Transitions Limited,INE0ALI01010,INR,NSE:EQUITY_L,2026-02-18
NSE,ADVANCE,ADVANCE.NS,Advance Agrolife Limited,INE1B0W01010,INR,NSE:EQUITY_L,2026-02-18
NSE,ADVANIHOTR,ADVANIHOTR.NS,Advani Hotels & Resorts (India) Limited,INE199C01026,INR,NSE:EQUITY_L,2026-02-18
NSE,ADVENTHTL,ADVENTHTL.NS,Advent Hotels International Limited,INE28GN01010,INR,NSE:EQUITY_L,2026-02-18
NSE,ADVENZYMES,ADVENZYMES.NS,Advanced Enzyme Technologies Limited,INE837H01020,INR,NSE:EQUITY_L,2026-02-18
NSE,AEGISLOG,AEGISLOG.NS,Aegis Logistics Limited,INE208C01025,INR,NSE:EQUITY_L,2026-02-18
NSE,AEGISVOPAK,AEGISVOPAK.NS,Aegis Vopak Terminals Limited,INE0INX01018,INR,NSE:EQUITY_L,2026-02-18
NSE,AEQUS,AEQUS.NS,Aequs Limited,INE947N01017,INR,NSE:EQUITY_L,2026-02-18
NSE,AEROENTER,AEROENTER.NS,Aeroflex Enterprises Limited,INE065D01027,INR,NSE:EQUITY_L,2026-02-18
NSE,AEROFLEX,AEROFLEX.NS,Aeroflex Industries Limited,INE024001021,INR,NSE:EQUITY_L,2026-02-18
NSE,AERONEU,AERONEU.NS,Aeroflex Neu Limited,INE035801013,INR,NSE:EQUITY_L,2026-02-18
NSE,AETHER,AETHER.NS,Aether Industries Limited,INE0BWX01014,INR,NSE:EQUITY_L,2026-02-18
NSE,AFCONS,AFCONS.NS,Afcons Infrastructure Limited,INE101I01011,INR,NSE:EQUITY_L,2026-02-18
NSE,AFFLE,AFFLE.NS,Affle 3i Limited,INE00WC01027,INR,NSE:EQUITY_L,2026-02-18
NSE,AFFORDABLE,AFFORDABLE.NS,Affordable Robotic & Automation Limited,INE692Z01013,INR,NSE:EQUITY_L,2026-02-18
NSE,AFIL,AFIL.NS,Akme Fintrade (India) Limited,INE916Y01027,INR,NSE:EQUITY_L,2026-02-18
NSE,AFSL,AFSL.NS,Abans Financial Services Limited,INE00ZE01026,INR,NSE:EQUITY_L,2026-02-18
NSE,AGARIND,AGARIND.NS,Agarwal Industrial Corporation Limited,INE204E01012,INR,NSE:EQUITY_L,2026-02-18
NSE,AGARWALEYE,AGARWALEYE.NS,Dr. Agarwal's Health Care Limited,INE943P01029,INR,NSE:EQUITY_L,2026-02-18
NSE,AGI,AGI.NS,AGI Greenpac Limited,INE415A01038,INR,NSE:EQUITY_L,2026-02-18
NSE,AGIIL,AGIIL.NS,Agi Infra Limited,INE976R01033,INR,NSE:EQUITY_L,2026-02-18
NSE,AGRITECH,AGRITECH.NS,Agri-Tech (India) Limited,INE449G01018,INR,NSE:EQUITY_L,2026-02-18
NSE,AGROPHOS,AGROPHOS.NS,Agro Phos India Limited,INE740V01019,INR,NSE:EQUITY_L,2026-02-18
NSE,AGSTRA,AGSTRA.NS,AGS Transact Technologies Limited,INE583L01014,INR,NSE:EQUITY_L,2026-02-18
NSE,AHCL,AHCL.NS,Anlon Healthcare Limited,INE0Y8W01017,INR,NSE:EQUITY_L,2026-02-18
NSE,AHLADA,AHLADA.NS,Ahlada Engineers Limited,INE00PV01013,INR,NSE:EQUITY_L,2026-02-18
NSE,AHLEAST,AHLEAST.NS,Asian Hotels (East) Limited,INE926K01017,INR,NSE:EQUITY_L,2026-02-18
NSE,AHLUCONT,AHLUCONT.NS,Ahluwalia Contracts (India) Limited,INE758C01029,INR,NSE:EQUITY_L,2026-02-18
NSE,AIAENG,AIAENG.NS,AIA Engineering Limited,INE212H01026,INR,NSE:EQUITY_L,2026-02-18
NSE,AIIL,AIIL.NS,Authum Investment & Infrastructure Limited,INE206F01022,INR,NSE:EQUITY_L,2026-02-18
NSE,AIRAN,AIRAN.NS,Airan Limited,INE645W01026,INR,NSE:EQUITY_L,2026-02-18
NSE,AIROLAM,AIROLAM.NS,Airo Lam limited,INE801L01010,INR,NSE:EQUITY_L,2026-02-18
NSE,AJANTPHARM,AJANTPHARM.NS,Ajanta Pharma Limited,INE031B01049,INR,NSE:EQUITY_L,2026-02-18
NSE,AJAXENGG,AJAXENGG.NS,Ajax Engineering Limited,INE274Y01021,INR,NSE:EQUITY_L,2026-02-18
NSE,AJMERA,AJMERA.NS,Ajmera Realty & Infra India Limited,INE298G01035,INR,NSE:EQUITY_L,2026-02-18
NSE,AJOONI,AJOONI.NS,Ajooni Biotech Limited,INE820Y01021,INR,NSE:EQUITY_L,2026-02-18
NSE,AKASH,AKASH.NS,Akash Infra-Projects Limited,INE737W01013,INR,NSE:EQUITY_L,2026-02-18
NSE,AKG,AKG.NS,Akg Exim Limited,INE00Y801016,INR,NSE:EQUITY_L,2026-02-18
NSE,AKI,AKI.NS,AKI India Limited,INE642Z01026,INR,NSE:EQUITY_L,2026-02-18
NSE,AKSHAR,AKSHAR.NS,Akshar Spintex Limited,INE256Z01025,INR,NSE:EQUITY_L,2026-02-18
NSE,AKSHARCHEM,AKSHARCHEM.NS,AksharChem India Limited,INE542B01011,INR,NSE:EQUITY_L,2026-02-18
NSE,AKSHOPTFBR,AKSHOPTFBR.NS,Aksh Optifibre Limited,INE523B01011,INR,NSE:EQUITY_L,2026-02-18
NSE,AKUMS,AKUMS.NS,Akums Drugs and Pharmaceuticals Limited,INE09XN01023,INR,NSE:EQUITY_L,2026-02-18
NSE,AKZOINDIA,AKZOINDIA.NS,Akzo Nobel India Limited,INE133A01011,INR,NSE:EQUITY_L,2026-02-18
NSE,ALANKIT,ALANKIT.NS,Alankit Limited,INE914E01040,INR,NSE:EQUITY_L,2026-02-18
NSE,ALBERTDAVD,ALBERTDAVD.NS,Albert David Limited,INE155C01010,INR,NSE:EQUITY_L,2026-02-18
